,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
0,Philadelphia 76ers,108,Cleveland Cavaliers,97,16,13,3,768.0,111.9,102.3,9.6,71.1,2.02,20.8,26.8,73.5,51.6,14.7,55.1,58.0,101.47,56.8,16,10,6,768.0,114.5,112.2,2.3,54.9,1.93,17.5,25.2,71.8,48.9,12.3,55.1,58.2,98.31,50.7,11
1,Brooklyn Nets,111,Sacramento Kings,116,14,5,9,682.0,111.1,114.3,-3.2,64.4,1.78,18.2,26.2,71.6,48.6,14.1,52.6,56.8,98.57,47.7,16,6,10,778.0,104.2,109.1,-4.9,58.1,1.80,17.4,26.1,76.0,50.1,13.2,50.0,52.9,95.23,46.4,-5
2,Minnesota Timberwolves,99,Portland Trail Blazers,108,13,6,7,624.0,110.6,113.0,-2.4,53.7,1.66,16.5,26.0,72.7,49.6,13.3,52.4,56.7,98.15,48.7,15,12,3,720.0,113.1,104.7,8.3,52.8,1.81,15.9,29.5,75.2,52.1,12.0,51.3,55.3,97.13,54.1,-9
3,Detroit Pistons,106,Orlando Magic,115,15,7,8,735.0,105.0,105.0,0.0,56.3,1.65,16.6,26.2,72.0,49.2,13.6,50.9,53.7,96.39,50.1,14,4,10,677.0,99.3,104.9,-5.6,62.4,1.48,17.2,23.9,72.8,48.1,15.7,48.5,51.9,97.21,46.6,-9
4,Charlotte Hornets,99,Philadelphia 76ers,110,15,6,9,725.0,111.0,112.3,-1.3,53.4,1.79,15.7,25.6,75.2,50.4,11.8,51.0,55.9,99.51,49.9,16,13,3,768.0,111.9,102.3,9.6,71.1,2.02,20.8,26.8,73.5,51.6,14.7,55.1,58.0,101.47,56.8,-11
5,Golden State Warriors,114,Atlanta Hawks,109,14,7,7,672.0,106.9,107.1,-0.2,63.2,1.80,19.0,23.3,72.3,48.5,14.5,52.7,56.2,97.32,51.2,14,2,12,672.0,102.5,113.1,-10.7,61.9,1.45,17.3,25.0,77.1,50.7,16.1,51.0,54.4,100.79,44.1,5
6,Dallas Mavericks,100,Chicago Bulls,108,14,4,10,677.0,105.6,107.7,-2.2,59.3,1.87,17.3,23.2,76.1,49.4,12.5,51.2,54.3,97.88,48.2,15,5,10,720.0,103.2,112.7,-9.5,61.8,1.63,16.9,30.2,74.0,50.7,14.4,47.9,51.4,97.93,43.7,-8
7,Denver Nuggets,108,Memphis Grizzlies,102,15,8,7,735.0,115.6,113.1,2.5,62.7,1.79,19.0,27.0,72.1,50.4,14.7,56.3,59.9,98.61,51.9,16,3,13,768.0,102.0,113.6,-11.6,59.7,1.55,17.0,28.4,73.2,49.2,15.0,49.6,52.5,96.50,43.2,6
8,Indiana Pacers,103,Milwaukee Bucks,96,15,11,4,725.0,106.1,103.4,2.7,52.1,1.55,15.7,28.4,73.2,50.0,13.8,49.7,53.4,94.31,50.9,15,8,7,725.0,113.4,112.0,1.3,61.0,1.84,19.1,26.4,69.2,48.0,14.3,55.2,58.6,98.32,52.0,7
9,Toronto Raptors,102,Washington Wizards,95,16,12,4,778.0,114.9,110.3,4.5,63.3,1.95,18.9,29.1,72.7,50.9,13.5,54.5,58.1,96.59,52.7,14,6,8,687.0,107.7,109.2,-1.5,69.0,1.80,19.7,28.6,73.9,51.4,15.5,52.8,56.2,95.44,50.3,7
